numero_ej,nom_du_projet,nom_fournisseur,montant_engage,numero_ds,source
2104386760,"Mise en œuvre d’actions conservatoires en faveur de cortèges d’espèces d’odonates à enjeux inféodés aux mares en contexte forestier, en Sarthe, par rétablissement de réseaux fonctionnels de mares et de zones humides.",LIGUE PROTECTION DES OISEAUX DE, 12 395.00,16798605,DREAL
2104387663,DEMI,COMITE REGIONAL PECHES MARITIMES CO, 48 128.68,15387077,DREAL
2104387776,MAREAM: Mares et Amphibiens menacés. Préservation et restauration de réseaux de mares en faveur de la redynamisation de populations d'amphibiens menacés (Triton crêté et Rainette verte),CONSERVATOIRE D ESPACES NATURELS, 258 268.47,17559639,DREAL
2104388524,Expérimentation d'une gestion intégrée des aires protégées du Grand Site de France Baie de Somme dans le cadre du LIFE Biodiversité,SM BAIE SOMME GD LITTORAL PICARD, 50 000.00,18081952,DREAL
2104390467,suivi du Puffin des Baléares en baie de Saint-Brieuc 2024-2025-2026,ASSOCIATION GEOCA ST BRIEUC, 69 615.00,15366422,DREAL
2104392455,"Renforcement des moyens de sensibilisation, de surveillance et de contrôle de plusieurs aires protégées en baie de Somme",SM BAIE SOMME GD LITTORAL PICARD, 114 400.00,12256377,DREAL
2104392684,Conservation d’une métapopulation de Petits rhinolophes dans les Alpes du sud,CONSERVATOIRE D ESPACES NATURELS, 94 455.00,16339529,DREAL
2104392813,"Mise en œuvre des actions de conservation et de restauration des espèces végétales menacées et de leurs milieux naturels, issues des 11 plans d’actions en région SUD Provence-Alpes-Côte d’Azur",PARC NATIONAL DE PORT CROS, 254 691.00,12586236,DREAL
2104392815,Programme annuels d'actions de préservation et valorisation de la Réserve Naturelle Nationale des Marais d'Isle,CA DU SAINT-QUENTINOIS, 29 513.25,17020039,DREAL
2104393734,"Conservation de la population du Butor étoilé en déclin dans les marais de Brière par une meilleure prise en compte de ses zones de reproduction, de sa biologie et de son habitat",SM PARC NATUREL REGIONAL BRIERE, 39 464.70,15141596,DREAL
2104393822,Acquisition foncière de zones humides dans les Marais de l'Acheneau - Rouans,CONSERVATOIRE D'ESPACES NATURELS, 17 700.00,16536898,DREAL
2104393824,Étude des domaines vitaux et protection du Courlis cendré Numenius arquata dans le département de la Sarthe en période de nidification - 2024-2026 – Animation foncière et territoriale,CONSERVATOIRE D'ESPACES NATURELS, 16 500.00,16538896,DREAL
2104393827,Acquisition foncière de zones humides dans les Marais de l'Erdre - Marais de Blanche Noë (44),CONSERVATOIRE D'ESPACES NATURELS, 7 800.00,17200613,DREAL
2104394253,Identifier les secteurs prioritaires pour la biodiversité sur la costière rhodanienne (PNA Alysson du Rhône),CONSERVATOIRE BOTANIQUE ASYMIX, 55 304.00,16935164,DREAL
2104394334,Déclinaison locale du PNA pollinisateurs sauvages,SM PARC NATUREL REGIONAL BRIERE, 141 386.40,16408674,DREAL
2104394352,Acquisition de 4 hectares de pelouses sableuses - site des Fourneux/les Fours à chaux,CONSERVATOIRE D'ESPACES NATURELS, 13 600.00,17562284,DREAL
2104395762,Etude cartographique et animation foncière des Belles Seignes et sur des zones humides orphelines de gestion du PNR du Doubs Horloger dans le cadre de la SNAP,ASYMIX PARC NATUREL REGIO DOUBS HOR, 32 832.00,15411766,DREAL
2104396168,Acquisition marais de la Virvée,CONSERVATOIRE D'ESPACES NATURELS DE, 200 000.00,16954626,DREAL
2104396983,Actions sur les zones humides du Haut-Rhône en faveur de l'azuré de la Sanguisorbe et l'azuré des Paluds,SYNDMC HAUT RHONE, 67 836.00,17161430,DREAL
2104397002,Valorisation du potentiel écologique du domaine forestier public départemental : Réalisation de notices de gestion sur les prairies,DEP RHONE, 60 561.00,17379946,DREAL
2104398919,"Coordination, suivi, synthèse et protection des sites à enjeu pour les Chiroptères en Loire-Atlantique en 2024",GROUPE MAMMALOGIQUE BRETON, 8 495.00,16550566,DREAL
2104399370,Coordination du réseau « SOS Chauves-souris » en Loire-Atlantique en 2024,GROUPE MAMMALOGIQUE BRETON, 5 150.00,16558317,DREAL
